Name,Start Time,End Time,Duration,Venue,Voter: Callum,Voter: Steven,Total Votes
Isabella Charlton: So My Dad F****d The Nanny,21:40,22:40,1:00,"Blether, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",X,X,2
Isobel Rogers: How to Be Content,17:50,18:50,1:00,"Below, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Ivo Graham: Grand Designs,21:20,22:20,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Jack Docherty in The Chief – No Apologies,20:00,21:00,1:00,"Big Yin, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",X,X,2
Jack Tucker: Comedy Standup Hour,23:00,00:20,1:20,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Jason Byrne: NO SHOW,20:40,21:40,1:00,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",X,X,2
Jimeoin: Who's Your Man?!,20:25,21:25,1:00,"Just the Tonic's Atomic Room, Just the Tonic Nucleus, 138-140 Pleasance, EH8 9RR",X,X,2
Jo Caulfield Pearls Before Swine,19:10,20:10,1:00,"Stand 3, The Stand Comedy Club 3 & 4, 28 York Place, EH1 3EP",X,X,2
Jo Griffin: Last Chance Saloon,21:15,22:15,1:00,"The Box, Assembly George Square, George Square, EH8 9LH",X,,1
Joe Wells – Daddy Autism,12:00,13:00,1:00,"Chamber Room, PBH's Free Fringe @ Banshee Labyrinth, 29-35 Niddry Street, EH1 1LG",,X,1
John Luke Roberts: John-Luke-A-Palooza!,14:10,15:10,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",,X,1
John Robertson's The Dark Room,22:00,23:00,1:00,"Doonstairs, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",X,X,2
John Robertson: The Human Hurricane,20:20,21:10,0:50,"The Ballroom, Laughing Horse @ The Counting House, 38 W Nicolson St, EH8 9DD",X,X,2
Jonny & the Baptists: The Happiness Index,17:55,18:55,1:00,"Piccolo, Assembly George Square Gardens, George Square, EH8 9LH",X,X,2
Kafka's Metamorphosis: The Musical! With Puppets!,13:30,14:30,1:00,"Ace Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",,X,1
Laser Kiwi: Rise of the Olive,20:05,21:05,1:00,"Central, Assembly Roxy, 2 Roxburgh Place, EH8 9SU",X,X,2
Late Night With Terry Wogan,23:00,00:00,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",X,X,2
Late'n'Live,01:00,02:15,1:15,"Doonstairs, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",,X,1
Late'n'Live,23:30,00:45,1:15,"Doonstairs, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",X,,1
Lil Wenker: BANGTAIL,16:15,17:15,1:00,"Cellar, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Lou Wall: The Bisexual's Lament,22:20,23:20,1:00,"Beneath, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
MC Hammersmith: The MC Stands for Middle Class,13:55,14:55,1:00,"Monkey Barrel 1, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",X,X,2
Mags Singing,16:00,18:30,2:30,The Mound Precinct,X,,1
Mark Bittlestone: I Need a Straight Guy*,21:40,22:40,1:00,"Jack Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",,X,1
Mark Nelson: Getting Better Man,19:05,20:05,1:00,"Hive 1, Monkey Barrel Comedy (The Hive), 15-17 Niddry St, EH1 1LG",X,X,2
Mark Thomas: Gaffa Tapes,13:15,14:15,1:00,"Stand 1, The Stand Comedy Club, 5 York Place, EH1 3EB",X,X,2
"Mark Watson: Work-In-Progress Is Not a Cop-Out, It Demonstrates Respect For The Paying Audience",14:50,15:50,1:00,"Stand 2, The Stand Comedy Club 2, 16 North St Andrew Street, EH2 1HJ",X,X,2
Max Fosh: Loophole (Work in Progress),18:40,19:40,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",X,X,2
Milton Jones: Ha!Milton,19:00,20:00,1:00,"Main Hall, Assembly Hall, Mound Place, EH1 2LU",X,X,2
Mythos: Ragnarok,20:55,22:05,1:10,"Gordon Aikman Theatre, Assembly George Square, George Square, EH8 9LH",,X,1
Natalie Palamides: WEER,21:30,22:45,1:15,"Traverse 1, Traverse Theatre, 10 Cambridge Street, EH1 2ED",,X,1
Naughty Cabaret,22:50,00:00,1:10,"Belly Laugh, Underbelly, Cowgate, 66 Cowgate, EH1 1JX",X,X,2
Neil Delamere: Neil by Mouth,21:40,22:40,1:00,"Cabaret Bar, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",,X,1
NewsRevue,19:30,20:30,1:00,"Udderbelly, Underbelly, George Square, George Square, EH8 9LH",X,,1
Olaf Falafel Asks: Has Anyone Ever Actually Woven a Sigourney?,15:45,16:45,1:00,"Main Room, Laughing Horse @ The Pear Tree, 36 W Nicholson St, EH8 9DD",,X,1
One Man Musical by Flo & Joan,19:00,20:00,1:00,"Queen Dome, Pleasance Dome, 1 Bristo Square, EH8 9AL",X,X,2
Paddy Young: If I Told You I'd Have to Kiss You,19:50,20:50,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",X,X,2
Paul Foot: Dissolve,19:50,20:55,1:05,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",,X,1
Paul Merton and Suki Webster's Improv Show,15:30,16:30,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",X,X,2
Phil Ellis: Come On and Take The Rest of Me,12:45,13:45,1:00,"Monkey Barrel 4, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",X,,1
Pineapple Princess,00:15,01:15,1:00,"Wee Yurt, Hoots @ Potterrow, Potterrow Port (Underpass), EH8 9AA",X,X,2
Pirates: You Wouldn't Steal a Boat,21:30,22:20,0:50,"Fleming Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",X,X,2
Pod Save the UK – Live!,23:20,00:50,1:30,"Monkey Barrel 3, Monkey Barrel Comedy, 9-12 Blair Street, EH1 1QR",,X,1
Ray O'Leary: Your Laughter Is Just Making Me Stronger,17:20,18:20,1:00,"Studio Four, Assembly George Square Studios, George Square, EH8 9LH",X,,1
Reginald D Hunter: Fluffy Fluffy Beavers,21:30,22:30,1:00,"Studio One, Assembly George Square Studios, George Square, EH8 9LH",X,,1
Rhys Nicholson: Huge Big Party Congratulations!,20:25,21:25,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",,X,1
