"Date","Name","Rating","Walk to Show","Price(£)","Start Time","End Time","Duration","Venue"
Mon 19/08,"Best of Edinburgh Fringe Comedy",,"6 mins",2.50,15:15,16:15,1:00,"Fringe Room, Laughing Horse @ Kick Ass Cowgate, 37-39 Cowgate, EH1 1JR",
Mon 19/08,"Hello Like Before – A Bill Withers Tribute!",,"5 mins",12.00,17:30,18:30,1:00,"Partially Seated, The Jazz Bar, 1A Chambers Street, EH1 1HR",
Mon 19/08,"Bad Clowns: HOSTAGE",50,"0 mins",13.00,19:00,20:00,1:00,"Nip, Gilded Balloon Patter House, 3 Chambers St, EH1 1HT",
Mon 19/08,"Dan Rath: Pariah Carey",,"5 mins",12.00,21:50,22:50,1:00,"Friesian, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Tue 20/08,"A Girl Gets Naked In This",25," ",7.00,16:55,17:45,0:50,"Bedlam Theatre, Bedlam Theatre, 11b Bristo Place, EH1 1EZ",
Tue 20/08,"Mark Nelson: Getting Better Man",,"8 mins",7.00,19:05,20:05,1:00,"Hive 1, Monkey Barrel Comedy (The Hive), 15-17 Niddry St, EH1 1LG",
Tue 20/08,"Pirates: You Wouldn't Steal a Boat",,"5 mins",10.00,21:30,22:20,0:50,"Fleming Theatre, theSpace @ Surgeons' Hall, Nicolson Street, EH8 9DW",
Wed 21/08,"Sue Perkins: A Piece of Work in Progress",," ",16.50,15:30,16:30,1:00,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Wed 21/08,"Geoff Norcott: Basic Bloke",50,"9 mins",14.50,18:40,19:40,1:00,"Ermintrude, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Wed 21/08,"1 Irish, 1 English: Evenings",,"8 mins",6.00,20:15,21:15,1:00,"Hoot 6, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",
Wed 21/08,"Jack Tucker: Comedy Standup Hour",50,"12 mins",15.00,23:00,00:20,1:20,"Grand, Pleasance Courtyard, 60 Pleasance, EH8 9TJ",
Thu 22/08,"5 Mistakes That Changed History",50," ",22.50,16:40,17:40,1:00,"Studio Three, Assembly George Square Studios, George Square, EH8 9LH",
Thu 22/08,"Thinking Drinkers: The Booze-ical",,"4 mins",15.00,18:10,19:10,1:00,"Cowbarn, Underbelly, Bristo Square, Teviot Place, EH8 9AG",
Thu 22/08,"A-Z: The Geek's Guide to Seduction",,"8 mins",10.00,19:45,20:40,0:55,"Hoot 2, Hoots @ The Apex, 31-35 Grassmarket, EH1 2HS",
